#tail	head	KSP index	path cost
Q99835	Q9UMX1	1	6.33718e-01
P34741	P19784	2	5.62500e-01
P19784	O00422	2	5.62500e-01
P19784	O75586	3	5.62500e-01
P19784	P35222	4	5.62500e-01
Q13635	P46937	5	5.62500e-01
P46937	P35222	5	5.62500e-01
P46937	Q15797	6	5.62500e-01
Q13635	Q14192	7	5.62500e-01
Q14192	P35222	7	5.62500e-01
Q4KMG0	P00519	8	5.62500e-01
P00519	P35222	8	5.62500e-01
Q99835	P46934	9	5.62500e-01
P46934	Q15797	9	5.62500e-01
Q99835	P41182	10	5.62500e-01
P41182	Q96ST3	10	5.62500e-01
P34741	P17252	11	4.80133e-01
P17252	P35222	11	4.80133e-01
P41182	Q92793	12	4.80133e-01
Q99835	Q9NRP7	13	4.75289e-01
Q9NRP7	P08151	13	4.75289e-01
Q9NRP7	P10070	14	4.75289e-01
Q9NRP7	P10071	15	4.75289e-01
Q9NRP7	Q9UMX1	16	4.75289e-01
P34741	P15509	17	4.21875e-01
P15509	O14920	17	4.21875e-01
O14920	P08151	17	4.21875e-01
O14920	P35222	18	4.21875e-01
O14920	Q92793	19	4.21875e-01
P15509	P27986	20	4.21875e-01
P27986	P35222	20	4.21875e-01
P19784	P20290	21	4.21875e-01
P20290	P35222	21	4.21875e-01
P19784	P45983	22	4.21875e-01
P45983	P35222	22	4.21875e-01
P19784	P60484	23	4.21875e-01
P60484	P35222	23	4.21875e-01
P19784	P67870	24	4.21875e-01
P67870	P35222	24	4.21875e-01
P19784	P68400	25	4.21875e-01
P68400	P35222	25	4.21875e-01
P68400	Q92793	26	4.21875e-01
P19784	Q03164	27	4.21875e-01
Q03164	P35222	27	4.21875e-01
Q03164	Q92793	28	4.21875e-01
P19784	Q04206	29	4.21875e-01
Q04206	P35222	29	4.21875e-01
Q04206	Q92793	30	4.21875e-01
P19784	Q13526	31	4.21875e-01
Q13526	P35222	31	4.21875e-01
P19784	Q15287	32	4.21875e-01
Q15287	O00422	32	4.21875e-01
P19784	Q6ZNA4	33	4.21875e-01
Q6ZNA4	P12755	33	4.21875e-01
P19784	Q13351	34	4.21875e-01
Q13351	Q92793	34	4.21875e-01
P19784	Q13503	35	4.21875e-01
Q13503	Q93074	35	4.21875e-01
P19784	P51610	36	4.21875e-01
P51610	Q96ST3	36	4.21875e-01
P19784	Q99496	37	4.21875e-01
Q99496	O00422	37	4.21875e-01
P19784	Q9H307	38	4.21875e-01
Q9H307	O00422	38	4.21875e-01
P19784	Q9UKI9	39	4.21875e-01
Q9UKI9	Q92793	39	4.21875e-01
P19784	Q9Y2J2	40	4.21875e-01
Q9Y2J2	O00422	40	4.21875e-01
P19784	O60341	41	4.21875e-01
O60341	Q9Y466	41	4.21875e-01
P34741	P21359	42	4.21875e-01
P21359	P29590	42	4.21875e-01
P29590	P12755	42	4.21875e-01
P34741	O14936	43	4.21875e-01
O14936	O60260	43	4.21875e-01
O60260	P35222	43	4.21875e-01
P34741	P09038	44	4.21875e-01
P09038	P11362	44	4.21875e-01
P11362	P35222	44	4.21875e-01
P11362	Q92793	45	4.21875e-01
P09038	P21802	46	4.21875e-01
P21802	P35222	46	4.21875e-01
P09038	P22607	47	4.21875e-01
P22607	P35222	47	4.21875e-01
P09038	P67870	48	4.21875e-01
P09038	P68400	49	4.21875e-01
P34741	P15311	51	4.21875e-01
P15311	O14745	51	4.21875e-01
O14745	P35222	51	4.21875e-01
P34741	P01137	52	4.21875e-01
P01137	P36897	52	4.21875e-01
P36897	P12755	52	4.21875e-01
P01137	P37173	53	4.21875e-01
P37173	P35222	53	4.21875e-01
P37173	Q93074	54	4.21875e-01
P01137	P62258	55	4.21875e-01
P62258	P08151	55	4.21875e-01
P01137	P05067	56	4.21875e-01
P05067	Q15797	56	4.21875e-01
P62258	P10070	57	4.21875e-01
P62258	P10071	58	4.21875e-01
P01137	Q9UER7	59	4.21875e-01
Q9UER7	Q92793	59	4.21875e-01
P15311	P04626	60	4.21875e-01
P04626	P35222	60	4.21875e-01
P15311	P27986	61	4.21875e-01
P15311	P40337	62	4.21875e-01
P40337	P08151	62	4.21875e-01
P15311	P63104	63	4.21875e-01
P63104	P35222	63	4.21875e-01
P15311	Q15599	64	4.21875e-01
Q15599	P35222	64	4.21875e-01
P15311	P53779	65	4.21875e-01
P53779	Q92793	65	4.21875e-01
P15311	Q00987	66	4.21875e-01
Q00987	Q92793	66	4.21875e-01
P29590	P35222	67	4.21875e-01
P29590	Q92793	68	4.21875e-01
P29590	Q96ST3	69	4.21875e-01
P21359	P31946	70	4.21875e-01
P31946	O00422	70	4.21875e-01
P21359	P05067	71	4.21875e-01
P21359	P63165	72	4.21875e-01
P63165	Q92793	72	4.21875e-01
P63165	Q96ST3	73	4.21875e-01
P34741	Q16787	74	4.21875e-01
Q16787	P25054	74	4.21875e-01
P25054	P35222	74	4.21875e-01
P25054	Q92793	75	4.21875e-01
Q16787	Q96EB6	76	4.21875e-01
Q96EB6	P35222	76	4.21875e-01
Q13635	P14635	77	4.21875e-01
P14635	P24941	77	4.21875e-01
P24941	O00422	77	4.21875e-01
P14635	O60260	78	4.21875e-01
P14635	P20248	79	4.21875e-01
P20248	P35222	79	4.21875e-01
P24941	P35222	80	4.21875e-01
